date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 08:02:18 UTC,BTC/USD,64187.2,64055.01,64155.56,64256.1,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:03:14 UTC,BTC/USD,64187.1,64055.18,64156.56,64257.94,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:04:18 UTC,BTC/USD,64085.1,64053.66,64155.38,64257.09,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:05:21 UTC,BTC/USD,64136.5,64051.3,64152.91,64254.52,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:06:20 UTC,BTC/USD,64147.8,64050.88,64150.43,64249.99,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:07:16 UTC,BTC/USD,64135.0,64050.38,64146.17,64241.96,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:08:22 UTC,BTC/USD,64086.9,64045.89,64139.89,64233.89,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:09:15 UTC,BTC/USD,64089.6,64042.75,64134.09,64225.43,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:10:40 UTC,BTC/USD,64005.0,64041.58,64128.79,64215.99,"ACHAT (bande basse touchée, 64041.58)",1,0.0,0.01560816,64005.0,,999.0
2026-07-16 08:11:16 UTC,BTC/USD,64012.8,64020.42,64123.37,64226.32,HOLD,1.0,0.0,0.01560816,64005.0,,999.12
2026-07-16 08:12:17 UTC,BTC/USD,64043.3,64010.24,64118.88,64227.53,HOLD,1.0,0.0,0.01560816,64005.0,,999.6
2026-07-16 08:13:17 UTC,BTC/USD,64001.9,63992.89,64112.41,64231.93,HOLD,1.0,0.0,0.01560816,64005.0,,998.95
2026-07-16 08:14:18 UTC,BTC/USD,63946.8,63973.21,64107.84,64242.47,HOLD,1.0,0.0,0.01560816,64005.0,,998.09
2026-07-16 08:15:28 UTC,BTC/USD,63896.7,63932.93,64098.98,64265.03,HOLD,1.0,0.0,0.01560816,64005.0,,997.31
2026-07-16 08:16:17 UTC,BTC/USD,63874.5,63896.54,64089.17,64281.8,VENTE (stop-loss -0.20%),0,995.97,0.0,,-0.2,995.97
2026-07-16 08:17:18 UTC,BTC/USD,63899.9,63862.3,64076.38,64290.46,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:18:19 UTC,BTC/USD,63928.1,63839.2,64064.66,64290.12,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:19:16 UTC,BTC/USD,63923.8,63828.66,64053.29,64277.93,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:20:39 UTC,BTC/USD,63910.7,63816.27,64039.5,64262.74,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:21:15 UTC,BTC/USD,63950.9,63810.62,64025.64,64240.67,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:22:18 UTC,BTC/USD,63942.6,63810.95,64014.3,64217.66,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:23:27 UTC,BTC/USD,63962.4,63814.85,64003.04,64191.23,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:24:17 UTC,BTC/USD,64014.3,63818.21,63996.08,64173.95,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:25:22 UTC,BTC/USD,64007.2,63822.9,63989.92,64156.93,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:26:19 UTC,BTC/USD,64000.1,63831.83,63982.53,64133.22,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:27:16 UTC,BTC/USD,64026.1,63840.41,63977.32,64114.24,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:28:20 UTC,BTC/USD,64054.9,63843.47,63975.59,64107.72,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:29:20 UTC,BTC/USD,64080.0,63841.54,63976.33,64111.12,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:30:54 UTC,BTC/USD,64099.3,63840.91,63976.57,64112.24,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:31:16 UTC,BTC/USD,64126.0,63835.78,63981.43,64127.07,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:32:17 UTC,BTC/USD,64156.7,63824.41,63987.12,64149.84,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:33:17 UTC,BTC/USD,64143.0,63818.71,63993.74,64168.76,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:34:17 UTC,BTC/USD,64143.0,63817.13,64002.92,64188.7,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:35:23 UTC,BTC/USD,64143.0,63829.42,64015.99,64202.55,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:36:17 UTC,BTC/USD,64161.7,63845.35,64030.34,64215.34,HOLD,0.0,995.97,0.0,,,995.97
2026-07-16 08:37:15 UTC,BTC/USD,64232.1,63862.97,64046.97,64230.98,HOLD,0.0,995.97,0.0,,,995.97
