date,actif,prix_btc,rsi,rsi_precedent,sma_longue,tendance_haussiere,atr,volume_confirme,sentiment_marche,motif_chandelier,biais_directionnel,support_proche,resistance_proche,decision,taille_position_appliquee,mode_prudent,pertes_consecutives,cooldown_restant,position,capital,quantite_detenue,prix_entree,atr_entree,pnl_pct,pnl_r,valeur_totale
2026-07-16 07:19 UTC,ETH/USD,1916.35,55.6,50.3,1910.58,True,6.8914,False,Extreme Fear,Doji (indécision),neutre,1910.15,1929.3,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 07:31 UTC,ETH/USD,1915.8,51.7,55.6,1911.21,True,6.5879,False,Extreme Fear,Trois corbeaux noirs (continuation baissière),neutre,1910.15,1929.3,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 08:01 UTC,ETH/USD,1910.4,44.6,51.7,1911.9,False,6.9393,False,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,1910.15,1928.91,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 08:31 UTC,ETH/USD,1890.56,31.5,44.6,1912.4,False,8.8564,True,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,1862.63,1928.91,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 09:01 UTC,ETH/USD,1887.39,20.1,31.5,1912.71,False,9.0957,False,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,1862.63,1887.42,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 09:31 UTC,ETH/USD,1883.39,19.3,20.1,1912.87,False,9.2493,False,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,1862.63,1887.42,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 10:01 UTC,ETH/USD,1883.44,17.4,19.3,1912.96,False,9.1879,False,Extreme Fear,Bullish Harami (retournement haussier),baissier,1873.36,1887.42,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 10:31 UTC,ETH/USD,1887.27,21.5,17.4,1913.07,False,9.19,False,Extreme Fear,Three Inside Up (retournement haussier confirmé),neutre,1873.36,1887.42,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 11:01 UTC,ETH/USD,1885.58,24.4,21.5,1913.25,False,8.8829,False,Extreme Fear,Tweezer Top (retournement baissier),neutre,1873.36,1887.42,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 11:31 UTC,ETH/USD,1882.06,21.9,24.4,1913.39,False,8.8043,False,Extreme Fear,"Étoile du soir (Evening Star, retournement baissier)",neutre,1873.36,1887.42,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
