date,actif,prix_btc,rsi,rsi_precedent,sma_longue,tendance_haussiere,atr,volume_confirme,sentiment_marche,motif_chandelier,biais_directionnel,support_proche,resistance_proche,decision,taille_position_appliquee,mode_prudent,pertes_consecutives,cooldown_restant,position,capital,quantite_detenue,prix_entree,atr_entree,pnl_pct,pnl_r,valeur_totale
2026-07-16 07:19 UTC,BTC/EUR,56291.7,50.3,48.4,56624.07,False,158.9429,False,Extreme Fear,Trois corbeaux noirs (continuation baissière),neutre,56197.08,56550.9,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 07:31 UTC,BTC/EUR,56205.5,46.7,50.3,56613.25,False,160.8071,True,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,56197.08,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 08:01 UTC,BTC/EUR,55982.9,38.6,46.7,56599.01,False,179.3429,True,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,54809.38,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 08:31 UTC,BTC/EUR,55949.3,37.7,38.6,56588.31,False,176.3,True,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 09:01 UTC,BTC/EUR,55915.0,27.9,37.7,56576.67,False,176.8143,True,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 09:31 UTC,BTC/EUR,55849.4,27.6,27.9,56562.45,False,178.7143,False,Extreme Fear,Trois corbeaux noirs (continuation baissière),baissier,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 10:01 UTC,BTC/EUR,55870.9,29.6,27.6,56546.5,False,180.7357,True,Extreme Fear,Tweezer Bottom (retournement haussier),baissier,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 10:31 UTC,BTC/EUR,55985.0,34.9,29.6,56531.51,False,182.1643,True,Extreme Fear,,neutre,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 11:01 UTC,BTC/EUR,55971.7,37.4,34.9,56519.48,False,177.3071,False,Extreme Fear,Trois soldats blancs (continuation haussière),neutre,54809.5,56557.78,HOLD (achat retardé : tendance de fond baissière (prix sous la SMA50)),0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 11:31 UTC,BTC/EUR,55973.9,34.7,37.4,56507.24,False,178.9929,False,Extreme Fear,Dark Cloud Cover (retournement baissier),neutre,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 12:01 UTC,BTC/EUR,55982.7,36.9,34.7,56494.93,False,181.6929,True,Extreme Fear,Tweezer Bottom (retournement haussier),haussier,54809.5,56557.78,HOLD (achat retardé : tendance de fond baissière (prix sous la SMA50)),0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 12:31 UTC,BTC/EUR,55968.5,18.9,36.9,56482.18,False,167.9929,True,Extreme Fear,Tweezer Top (retournement baissier),neutre,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 13:04 UTC,BTC/EUR,55858.2,16.2,18.9,56465.28,False,179.7714,True,Extreme Fear,,baissier,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 13:31 UTC,BTC/EUR,56087.9,31.4,16.2,56453.26,False,186.2071,True,Extreme Fear,Engulfing haussier,neutre,54809.5,56557.78,HOLD,0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
2026-07-16 14:01 UTC,BTC/EUR,56227.5,39.7,31.4,56437.11,False,195.6286,True,Extreme Fear,,haussier,56151.22,56557.78,HOLD (achat retardé : tendance de fond baissière (prix sous la SMA50)),0.5,False,0,0,0.0,1000.0,0.0,,,,,1000.0
